,country,code,n,n1,Latitude,Longitude
188,Tunisia,TUN,1032,45,33.886917,9.537499
189,Turkey,TUR,143114,3952,38.963745,35.243322
190,Turks_and_Caicos_islands,TCA,12,1,21.694025,-71.797928
191,Uganda,UGA,139,0,1.373333,32.290275
192,Ukraine,UKR,16425,439,48.379433,31.16558
193,United_Arab_Emirates,ARE,20386,206,23.424076,53.847818000000004
194,United_Kingdom,GBR,229705,33186,55.378051,-3.435973
195,United_Republic_of_Tanzania,TZA,509,21,-6.369028,34.888822
196,United_States_of_America,USA,1390746,84133,37.09024,-95.712891
197,United_States_Virgin_Islands,VIR,69,6,18.335765,-64.896335
198,Uruguay,URY,719,19,-32.522779,-55.765834999999996
199,Uzbekistan,UZB,2612,11,41.377491,64.585262
200,Venezuela,VEN,440,10,6.42375,-66.58973
201,Vietnam,VNM,288,0,14.058323999999999,108.277199
202,Western_Sahara,,6,0,24.215526999999998,-12.885834
203,Yemen,YEM,70,12,15.552726999999999,48.516388
204,Zambia,ZMB,446,7,-13.133897,27.849332
205,Zimbabwe,ZWE,37,4,-19.015438,29.154857
